publication_id,ion,band,instrument,holding,tier,selector,route,treatment,A,n_lines,resolved,reason,perline_artifact
Fe-101,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.439,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-102,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,synth-mean3D-LTE-gerber-stagger,7.541,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-mean3D-LTE-gerber-stagger_lines.csv
Fe-103,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,synth-mean3D-NLTE-gerber-stagger,7.562,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-mean3D-NLTE-gerber-stagger_lines.csv
Fe-104,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.435,175,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-105,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A-3DNLTE,7.485,101,True,resolved from product provenance,data/results/rya1213/3dnlte_kurucz2005/rya817_3dnlte_per_line.csv
Fe-106,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.441,165,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-107,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.481,176,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-108,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.436,176,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-109,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,ALL,ASPLUND_AGSS21,SYNTH,ENGINE-A-3DNLTE,7.5037,21,True,resolved from product provenance,data/results/rya1106/kpno_molecfit/asplund_lines_per_line.csv
Fe-110,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.417,108,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-111,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.426,104,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-112,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,PROFILEFIT,1D-LTE,7.463,13,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-113,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,PROFILEFIT,ENGINE-A,7.464,12,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe-114,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,1D-LTE,7.447,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe-115,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-A-3DNLTE,7.5116,50,True,resolved from product provenance,data/results/rya1095/kpmf/rya817_3dnlte_per_line.csv
Fe-116,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-A,7.454,61,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-117,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.497,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-118,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.451,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-119,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,synth-mean3D-LTE-gerber-stagger,7.552,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-mean3D-LTE-gerber-stagger_lines.csv
Fe-120,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,synth-mean3D-NLTE-gerber-stagger,7.552,67,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-mean3D-NLTE-gerber-stagger_lines.csv
Fe-121,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.432,175,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-122,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A-3DNLTE,7.4924,101,True,resolved from product provenance,data/results/rya1213/3dnlte_kpmf/rya817_3dnlte_per_line.csv
Fe-123,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.442,165,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-124,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.487,176,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-125,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.446,176,True,resolved,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-126,I,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.554,55,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-127,I,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.562,55,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-128,I,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.56,56,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-129,I,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.569,56,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-130,I,near-UV,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.565,56,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-131,I,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.508,54,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-132,I,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.516,54,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-133,I,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.512,55,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-134,I,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.518,55,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-135,I,near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.467,57,True,resolved,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-136,I,red-optical,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,1D-LTE,7.448,68,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_1D-LTE_lines.csv
Fe-137,I,red-optical,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,ENGINE-A,7.46,35,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-138,I,red-optical,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.491,68,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-139,I,red-optical,iag_fts_solar_atlas,solar_iag,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.453,68,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-140,I,red-optical,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.448,68,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-141,I,red-optical,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.46,35,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-142,I,red-optical,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.491,68,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-143,I,red-optical,iag_fts_solar_atlas,solar_iag,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.453,68,True,resolved,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-144,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,1D-LTE,7.458,69,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe-145,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,ENGINE-A,7.451,35,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-146,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.498,69,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-147,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.454,69,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-148,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.458,69,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-149,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.451,35,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-150,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.498,69,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-151,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.454,69,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-152,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,1D-LTE,7.484,53,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe-153,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-A,7.493,27,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe-154,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,ENGINE-B-NLTE,7.507,53,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe-155,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,GRADED,GRADED,SYNTH,synth-1D-LTE-gerber,7.478,53,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe-156,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.484,53,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-157,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.493,27,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-158,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-B-NLTE,7.507,53,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_ENGINE-B-NLTE_lines.csv
Fe-159,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.478,53,True,resolved,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
